instance_id,average_message_length,avg_num_words_between_commands,avg_time_between_message_and_command,event_count,message_count,message_to_command_ratio,num_participants,num_turns,num_words_per_turn,ratio_of_commands_without_message,RP to CMD,CMD to NARR,RP to CMD or CMD to NARR,RP to CMD and CMD to NARR
1654467220-3c445dcd-c960-437a-9089-3d03e0f1f73b,12.701149425287356,22.1,29.071610493130155,280.0,194.0,0.2525773195876288,5.0,10.0,80.7,0.0816326530612244,1,1,1,1
1654571556-606ff8a8-985e-472b-a7d7-f2f364387b3d,10.695208970438328,137.1764705882353,72.27535014080279,1232.0,1126.0,0.0595026642984014,10.0,10.0,46.4,0.0149253731343283,-1,-1,-1,-1
1654734791-06be138a-af1f-47d1-b227-5d3930da5b9a,6.035294117647059,3.631205673758865,196.2750828129905,649.0,382.0,0.3664921465968586,5.0,30.0,15.666666666666666,0.0,1,1,1,1
1654915901-d1d4f494-d9ec-42fa-89f3-6c2677660744,1.0,0.125,6.862356730869839,61.0,38.0,0.3947368421052631,2.0,1.0,0.0,0.5333333333333333,-1,-1,-1,-1
1655284168-6b0568f9-e875-4558-945b-ca98feb21738,1.0,0.1764705882352941,9.898697725931804,70.0,36.0,0.4444444444444444,2.0,1.0,2.0,0.0625,-1,-1,-1,-1
1655445995-8439c379-489d-45c6-9383-e89db3bc1c39,1.8,0.3,8.198237220446268,122.0,62.0,0.4677419354838709,2.0,6.0,1.3333333333333333,0.1724137931034483,-1,-1,-1,-1
1655555147-055c1cca-28ef-4e04-8422-5e372abeefe0,1.0,0.3636363636363636,183.8551425933838,47.0,31.0,0.3225806451612903,2.0,0.0,0.0,0.0,-1,-1,-1,-1
1655566304-d4a14bee-22a1-4ad6-b0f6-b39d3ec382e4,5.439093484419264,28.153846153846157,72616.85026325924,596.0,498.0,0.1285140562248996,11.0,7.0,31.142857142857142,0.125,-1,-1,-1,-1
1655610726-37e50a0c-b4d3-4b9c-a073-7157c0ffbd8f,1.3333333333333333,0.0769230769230769,71.71276659965515,206.0,113.0,0.4513274336283185,4.0,7.0,0.4285714285714285,0.7058823529411765,-1,-1,-1,-1
1655662955-13f6cd25-469f-4425-a37c-9edbcaeed1fa,1.0,0.0384615384615384,1.709262132644653,108.0,56.0,0.4464285714285714,2.0,7.0,0.0,0.96,-1,-1,-1,-1
1655915947-0496030b-e4a8-4ba6-8843-403f1264df1c,8.212616822429906,35.08040201005025,203.1081186756492,1648.0,1324.0,0.1495468277945619,16.0,24.0,46.125,0.0303030303030303,1,1,1,1
1656329251-f2f6b6bb-92ee-413c-9f19-b6b30a27cfa4,3.989059080962801,4.5227272727272725,248.5893473915152,2097.0,1320.0,0.2992424242424242,12.0,46.0,37.869565217391305,0.0632911392405063,-1,-1,-1,-1
1656417412-cf31d8b1-c4ae-44d6-b6dc-dd95ae3b36aa,6.981012658227848,16.68241469816273,116.78470140004026,2598.0,1754.0,0.2166476624857468,13.0,54.0,67.0925925925926,0.0473684210526315,-1,-1,-1,-1
1656513740-ed4dbccf-145e-4cad-a407-bd28cd5bfc29,1.0,1.5,2.943775415420532,24.0,18.0,0.1666666666666666,2.0,0.0,0.0,0.3333333333333333,-1,-1,-1,-1
1656876036-5fc2ec5d-84b4-4908-b787-d774fe57e273,9.737864077669904,11.528735632183908,141.26254515453826,974.0,559.0,0.3094812164579606,5.0,35.0,45.48571428571429,0.0057803468208092,1,-1,1,-1
1656954361-db952b84-4fbd-4b27-986b-64c20382324a,4.9125,6.301075268817204,146.30558422138526,989.0,630.0,0.2936507936507936,9.0,39.0,28.692307692307693,0.0702702702702702,-1,-1,-1,-1
1657116764-b032901f-d2ba-49c1-86d0-1455506b785b,1.0,0.1052631578947368,8.55778968334198,89.0,43.0,0.4186046511627907,2.0,3.0,0.0,0.6666666666666666,-1,-1,-1,-1
1657225964-b1c9306d-4ec1-42ad-a1f0-d4a9fbace397,12.785714285714286,16.272727272727273,39.189140142179006,313.0,183.0,0.2950819672131147,7.0,16.0,51.8125,0.0555555555555555,1,1,1,1
1657337638-39bb1e36-e3b5-46c5-ba92-f7d02ed4c83e,3.033333333333333,1.3582089552238803,14.931733051935831,322.0,176.0,0.375,2.0,23.0,3.652173913043478,0.0,-1,-1,-1,-1
1657340326-98d94795-52fd-4446-9677-bd04644faf89,1.0,0.375,4.868172304970877,57.0,41.0,0.1707317073170731,2.0,1.0,1.0,0.0,-1,-1,-1,-1
1657499701-312bec6a-0762-4165-9c96-5dd0775571da,5.419753086419753,4.659574468085107,234.7471804489961,475.0,278.0,0.3345323741007194,8.0,16.0,26.6875,0.2043010752688172,-1,-1,-1,-1
1657806788-c1e8231d-d95d-413d-9b07-f98d26255f37,2.5,1.1333333333333333,13.874779787930576,145.0,79.0,0.3670886075949367,3.0,5.0,2.4,0.2413793103448276,-1,-1,-1,-1
1657923722-b84c6298-159d-48fc-8af6-11576172a1fe,8.66875,43.239583333333336,55.61146755044053,894.0,691.0,0.1374819102749638,14.0,22.0,26.045454545454547,0.1368421052631579,-1,-1,-1,-1
1657938539-04c64402-743a-41a3-b4b1-0ed884a666ce,1.0,0.2,28.281594395637512,28.0,17.0,0.2352941176470588,2.0,0.0,0.0,0.5,-1,-1,-1,-1
1657982706-54826d44-b212-4892-8e08-f73b1610a74e,1.0,0.125,21.588063128789265,79.0,50.0,0.3,2.0,1.0,1.0,0.0,-1,-1,-1,-1
1658084024-7beb264d-ad9f-4129-89f7-412431483e96,2.142857142857143,0.625,117.17787722746532,128.0,65.0,0.3538461538461538,3.0,3.0,1.3333333333333333,0.4782608695652174,-1,-1,-1,-1
1658344314-c29fb18e-03b6-4f34-9baf-1d74b51dca21,1.0,0.0769230769230769,8.30013370513916,52.0,28.0,0.4285714285714285,2.0,0.0,0.0,0.75,-1,-1,-1,-1
1658363011-ca33e4f1-85d8-4bac-be5c-3c8b3d59caab,5.037037037037037,3.675675675675676,40.97780067390866,189.0,107.0,0.3364485981308411,3.0,7.0,11.571428571428571,0.0,1,1,1,1
1658431733-501a0a77-db92-47ed-a101-454447b59a73,1.0,0.09375,194.08255150583057,101.0,54.0,0.5740740740740741,2.0,0.0,0.0,0.1290322580645161,-1,-1,-1,-1
1658904266-c42f89df-3a02-45c1-bbd0-d44966b32496,5.621301775147929,3.6536964980544746,344.445000519891,1350.0,711.0,0.360056258790436,7.0,51.0,15.882352941176473,0.05859375,-1,-1,-1,-1
1658927095-17a31538-93e5-4fb6-bc4b-0457282ee076,1.6666666666666667,0.4545454545454545,22.12753913402557,58.0,39.0,0.2564102564102564,2.0,1.0,4.0,0.0,-1,-1,-1,-1
1658978465-0c2288da-2a9e-42c7-a546-1395f91533d2,2.2142857142857144,0.3493975903614458,302.6955393155416,407.0,181.0,0.4530386740331492,6.0,19.0,0.7894736842105263,0.4878048780487805,-1,-1,-1,-1
1659105113-b7eb8936-ddb6-4cbb-bcaf-6662c11edae0,17.8,35.6,381.6916910807292,68.0,47.0,0.1914893617021276,4.0,0.0,0.0,0.0,-1,1,1,-1
1659152341-43ea79cc-6975-4128-bdd1-d8b8962d3fd8,11.105263157894736,6.205882352941177,41.0307671810264,362.0,176.0,0.3806818181818182,3.0,25.0,13.32,0.0,1,-1,1,-1
